Organization Name,Address,Full Address,Latitude,Longitude,City,State,Postcode,Main Phone #,Discipline,Council District,Community Board,Borough,Census Tract,BIN,BBL,NTA
"Kathak Ensemble & Friends Caravan, Inc.","141 East 3rd Street, Apt. 12-H","141 East 3rd Street, Apt. 12-H, New York",40.7239313,-73.9855781,New York,NY,10009,(212) 673-1282,"Multi-Discipline, Performing",Manhattan Council District #2,Manhattan Community Board #3,Manhattan,32,1005762,1004310031,East Village
Kathryn Posin Dance Foundation,20 Bond Street,"20 Bond Street, New York",40.7267334,-73.9938152,New York,NY,10012,(212) 777-1515,Dance,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,5502,1008500,1005300058,West Village
Man Up! Inc.,797/799 Van Siclen Avenue,"797/799 Van Siclen Avenue, Brooklyn",40.6607983,-73.8859057,Brooklyn,NY,11207,(718) 498-2320,Other,Brooklyn Council District #42,Brooklyn Community Board #5,Brooklyn,,,,
"Keen Theater Company, Inc.","520 8th Avenue, Ste. 328","520 8th Avenue, Ste. 328, New York",40.753615,-73.9920415,New York,NY,10018,(212) 216-0963,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,109,1083624,1007860001,Midtown-Midtown South
Keep Empowering Youth Achievement,PO Box 340 111,"PO Box 340 111, Jamaica",18.109581,-77.297508,Jamaica,NY,11413,(347) 529-9270,Dance,Queens Council District #27,Queens Community Board #12,Queens,,,,
"Keep Rising to the Top, Inc.","119 East 102 Street, Apt. 5B","119 East 102 Street, Apt. 5B, New York",40.7900847,-73.9486339,New York,NY,10029,(212) 410-9426,Dance,Manhattan Council District #8,Manhattan Community Board #11,Manhattan,166,1051879,1016300010,East Harlem South
Kehila Kedosha Janina Synagogue and Museum,280 Broome Street,"280 Broome Street, New York",40.7186324,-73.9911523,New York,NY,10002,(212) 431-1619,Museum,Manhattan Council District #1,,Manhattan,18,1005465,1004140027,Chinatown
"Keigwin and Company, Inc.","246 West 38th Street, Eighth Floor","246 West 38th Street, Eighth Floor, New York",40.754037,-73.9904866,New York,NY,10018,(212) 278-0691,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,109,1014465,1007870067,Midtown-Midtown South
"Kenkeleba House, New York",214 East Second Street,"214 East Second Street, New York",40.7220712,-73.9828652,New York,NY,10009,(212) 674-3939,Visual Arts,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,2202,1004609,1003850063,Lower East Side
"Kentler International Drawing Space, Inc.",353 Van Brunt Street,"353 Van Brunt Street, Brooklyn",40.6769834,-74.0130443,Brooklyn,NY,11231,(718) 875-2098,Visual Arts,Brooklyn Council District #38,Brooklyn Community Board #6,Brooklyn,53,3319434,3005760004,Carroll Gardens-Columbia Street-Red Hook
"Kerri Edge Children's Dance Ensemble, Inc.",193-19 Nashville Boulevard,"193-19 Nashville Boulevard, Springfield Gardens",40.685536,-73.753051,Springfield Gardens,NY,11413,(718) 527-2011,Dance,Queens Council District #31,Queens Community Board #13,Queens,376,4273864,4127090026,St. Albans
"Keys to the Future Festival, Inc.","200 West 20th Street, Ste. 502","200 West 20th Street, Ste. 502, New York",40.7421036,-73.9970704,New York,NY,10011,(212) 242-2691,Music,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,87,1068149,1007697503,Hudson Yards-Chelsea-Flatiron-Union Square
"Kids Creative 404, Inc.",2014 5th Avenue,"2014 5th Avenue, New York",40.80628,-73.942735,New York,NY,10035,(646) 485-5123,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #1,Manhattan,200,1053465,1017220038,Central Harlem South
"Kinding Sindaw Heritage Foundation, Inc.","47 East Great Jones Street, 3rd Floor","47 East Great Jones Street, 3rd Floor, New York",40.7265254,-73.9926215,New York,NY,10012,(917) 710-2335,Folk Arts,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,5502,,,West Village
"King Manor Association of Long Island, Inc.","90-04 161 Street, Ste. 704","90-04 161 Street, Ste. 704, Jamaica",40.7051581,-73.7996541,Jamaica,NY,11432,(718) 206-0545,Museum,Queens Council District #24,Queens Community Board #12,Queens,44601,4208850,4097570023,Jamaica
"Kings Bay YM-YWHA, Inc.",3495 Nostrand Avenue,"3495 Nostrand Avenue, Brooklyn",40.59884,-73.9412174,Brooklyn,NY,11229,(718) 648-7703,"Multi-Discipline, Performing",Brooklyn Council District #45,Brooklyn Community Board #15,Brooklyn,570,3200300,3073630036,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
"Kings County Shakespeare Company, Inc.","138 South Oxford Street, #1C","138 South Oxford Street, #1C, Brooklyn",40.6851273,-73.9734987,Brooklyn,NY,11217,(718) 398-2546,Theater,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,179,3000000,3020040048,Fort Greene
Kings Majestic Corporation,1000 Dean Street Suite 232,"1000 Dean Street Suite 232, Brooklyn",40.6777408,-73.9572655,Brooklyn,NY,11238,(718) 304-1048,"Multi-Discipline, Performing",Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,305,3028018,3011420018,Crown Heights North
Kingsborough Community College Auxiliary Enterprises Corp.,"2001 Oriental Boulevard, #A205","2001 Oriental Boulevard, #A205, Brooklyn",40.5778144,-73.9355607,Brooklyn,NY,11235,(718) 368-4539,"Multi-Discipline, Performing",Brooklyn Council District #48,Brooklyn Community Board #15,Brooklyn,616,3326937,3087600060,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
"Kingsbridge Heights Community Center, Inc.",3101 Kingsbridge Terrace,"3101 Kingsbridge Terrace, Bronx",40.8776345,-73.9006631,Bronx,NY,10463,(718) 884-0700 x111,"Multi-Discipline, Non-Perform",Bronx Council District #14,Bronx Community Board #8,Bronx,277,2015788,2032570111,Van Cortlandt Village
Kleinman Holocaust Education Center Inc,5923 Strickland Avenue,"5923 Strickland Avenue, Brooklyn",40.6084419,-73.9154528,Brooklyn,NY,11234,(718) 759-6200,Museum,Brooklyn Council District #46,Brooklyn Community Board #18,Brooklyn,698,3391939,3084707501,Georgetown-Marine Park-Bergen Beach-Mill Basin
Knickerbocker Chamber Orchestra,PO Box 838,"PO Box 838, New York",40.7127753,-74.0059728,New York,NY,10272,(212) 267-3102,Music,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,,,,
Knowledge Project,"111 John Street, Suite 1070","111 John Street, Suite 1070, New York",40.7078278,-74.0056597,New York,NY,10038,(212) 346-9933,"Multi-Discipline, Performing",Manhattan Council District #1,Manhattan Community Board #1,Manhattan,1502,1001167,1000750030,Battery Park City-Lower Manhattan
Korea Society,"350 Madison Avenue, 24th Floor","350 Madison Avenue, 24th Floor, New York",40.7547484,-73.9786411,New York,NY,10017,(212) 759-7525,Visual Arts,Manhattan Council District #4,Manhattan Community Board #6,Manhattan,94,1035377,1012790057,Midtown-Midtown South
"Korean American Heritage Foundation, Inc.","163-07 Depot Road, #206","163-07 Depot Road, #206, Flushing",40.7620271,-73.8024869,Flushing,NY,11358,(646) 275-0549,Folk Arts,Queens Council District #19,Queens Community Board #7,Brooklyn,,,,
Korean Art Forum,616 West 207th Street,"616 West 207th Street, New York",40.86781,-73.921526,New York,NY,10034,(347) 840-1142,Visual Arts,Manhattan Council District #10,Manhattan Community Board #12,Queens,,,,
Mass Transit Street Theater,P.O. Box 347,"P.O. Box 347, Bronx",40.8447819,-73.8648268,Bronx,NY,10468,(718) 882-2454,Theater,Bronx Council District #14,Bronx Community Board #7,Bronx,,,,
Korean Community Service of Metropolitan New York,35-56 159th Street,"35-56 159th Street, Flushing",40.7640706,-73.8065933,Flushing,NY,11358,(718) 886-8203,Dance,Queens Council District #20,Queens Community Board #7,Queens,1171,4119327,4052740070,Murray Hill
"Korean Traditional Marching Band, Inc.",45-19 162 Street,"45-19 162 Street, Flushing",40.7557089,-73.8043645,Flushing,NY,11358,(646) 808-7272,Music,Queens Council District #20,Queens Community Board #7,Queens,1191,4123255,4054410029,East Flushing
"Korean Traditional Performing Arts Association, Inc.",142 West 49th Street,"142 West 49th Street, New York",40.7599841,-73.9828704,New York,NY,10019,(212) 921-9344,Folk Arts,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,125,1022694,1010010055,Midtown-Midtown South
KowTeff School of African Dance,168 Macon Street,"168 Macon Street, Brooklyn",40.6814933,-73.9443287,Brooklyn,NY,11216,(718) 789-5870,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #36,Brooklyn Community Board #10,Brooklyn,269,3053319,3018510029,Bedford
Northern Manhattan Arts Alliance,WorkSpace,"WorkSpace, New York",40.746095,-73.984145,New York,NY,10034,(212) 568-4396,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #7,Manhattan Community Board #12,Manhattan,,,,
"Kundiman, Inc.","113 West 60th Street, Room 924","113 West 60th Street, Room 924, New York",40.7707175,-73.9853904,New York,NY,10023,(347) 693-6506,Literature,Manhattan Council District #8,Manhattan Community Board #8,Manhattan,145,1028830,1011320020,Lincoln Square
"Kunqu Society, Inc.",14-48 College Point Boulevard,"14-48 College Point Boulevard, College Point",40.7846243,-73.846022,College Point,NY,11356,(718) 352-0070,Folk Arts,Queens Council District #20,Queens Community Board #7,Queens,929,4098222,4040770046,College Point
Kupferberg Center Performances,65-30 Kissena Boulevard,"65-30 Kissena Boulevard, Flushing",40.7362341,-73.8160795,Flushing,NY,11367,(718) 997-2785,"Multi-Discipline, Performing",Queens Council District #24,Queens Community Board #8,Queens,809,4141870,4065170001,Kew Gardens Hills
"Kweli Journal, Inc.","334 East 73rd Street, 5C","334 East 73rd Street, 5C, New York",40.7686422,-73.9562567,New York,NY,10021,(646) 709-7026,Literature,Manhattan Council District #5,Manhattan Community Board #8,Manhattan,126,1044886,1014470033,Lenox Hill-Roosevelt Island
"Kyle Abraham Abraham In Motion, Inc.",P.O. Box 986,"P.O. Box 986, New York",42.1956438,-74.1337508,New York,NY,10113,(212) 691-6500,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,,,,
"Kyo-Shin-An Arts, Inc.",44 Prospect Park West #C6,"44 Prospect Park West #C6, Brooklyn",40.6698297,-73.9730474,Brooklyn,NY,11215,(718) 832-5435,Music,Brooklyn Council District #33,Brooklyn Community Board #6,Manhattan,,,,
"L'Opera Francais de New York, Inc.",PO Box 33,"PO Box 33, New York",35.6244658,-97.4953997,New York,NY,10185,(212) 632-5565,Music,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,,,,
"LAByrinth, Inc.",155 Bank Street,"155 Bank Street, New York",40.7365645,-74.0092941,New York,NY,10014,(212) 513-1018,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,79,1012047,1006390001,West Village
LEA,"341 Wadsworth Avenue, Suite B","341 Wadsworth Avenue, Suite B, New York",40.8555336,-73.9305257,New York,NY,10040,(212) 543-0682,"Multi-Discipline, Non-Perform",Manhattan Council District #10,Manhattan Community Board #12,Manhattan,279,1064021,1021690001,Washington Heights North
LEMUR,461 Third Avenue,"461 Third Avenue, Brooklyn",40.671104,-73.9910259,Brooklyn,NY,11215,(212) 431-1130 x12,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #38,Brooklyn Community Board #6,Brooklyn,121,3022219,3010090006,Park Slope-Gowanus
"La Asociacion Benefica Cultural Padre Billini, Inc.",25-28 89th Street,"25-28 89th Street, Jackson Heights",40.762819,-73.880313,Jackson Heights,NY,11369,(718) 651-8427,Dance,Queens Council District #24,Queens Community Board #3,Queens,329,4032343,4013620023,Jackson Heights
La Casa de la Herencia Cultural Puertorriquena,"1230 Fifth Avenue, Ste. 458","1230 Fifth Avenue, Ste. 458, New York",40.7930766,-73.9513662,New York,NY,10029,(212) 722-2600,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #8,Manhattan Community Board #11,Manhattan,168,1051499,1016100001,East Harlem South
"La Compagnia de' Colombari, Inc.","P.O. Box 17, Village Station","P.O. Box 17, Village Station, New York",40.7127753,-74.0059728,New York,NY,10014,(646) 246-6307,Theater,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,,,,
"La Donna Dance, Inc.","140 Second Avenue, Ste. 501","140 Second Avenue, Ste. 501, New York",40.7288722,-73.9871248,New York,NY,10003,(212) 982-1227,Dance,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,38,1006362,1004500006,East Village
"La Mama Experimental Theater Club, Inc.",74A East 4th Street,"74A East 4th Street, New York",40.7263774,-73.990137,New York,NY,10003,(212) 254-6468,Theater,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,38,,,East Village
"La Troupe Makandal, Inc.","621 Rutland Road, Apt. 4C","621 Rutland Road, Apt. 4C, Brooklyn",40.6601506,-73.9400684,Brooklyn,NY,11203,(718) 953-6638,"Multi-Discipline, Performing",Brooklyn Council District #40,Brooklyn Community Board #9,Brooklyn,810,3107065,3048040040,Prospect Lefferts Gardens-Wingate
LaGuardia Performing Arts Center,"31-10 Thomson Avenue, Room E413","31-10 Thomson Avenue, Room E413, Long Island City",40.7438795,-73.9351386,Long Island City,NY,11101,(718) 482-5301,"Multi-Discipline, Performing",Queens Council District #26,Queens Community Board #1,Queens,179,4003534,4002780001,Hunters Point-Sunnyside-West Maspeth
LaGuardia and Wagner Archives,31-10 Thomson Avenue,"31-10 Thomson Avenue, Long Island City",40.7438795,-73.9351386,Long Island City,NY,11101,(718) 482-5301,Humanities,Queens Council District #26,Queens Community Board #2,Queens,179,4003534,4002780001,Hunters Point-Sunnyside-West Maspeth
"LaMicro Theater, Inc.",P.O. Box 20019,"P.O. Box 20019, New York",40.7127753,-74.0059728,New York,NY,10011,(212) 929-0332,Theater,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,,,,
"Landmark West, Inc.",45 West 67th Street,"45 West 67th Street, New York",40.7741539,-73.9805813,New York,NY,10023,(212) 496-8110,Architecture/Design,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,153,1028260,1011207501,Lincoln Square
Lark Theatre Company,311 West 43rd Street,"311 West 43rd Street, New York",40.7584564,-73.9900329,New York,NY,10036,(212) 246-2676 x23,Theater,Manhattan Council District #6,Manhattan Community Board #4,Manhattan,121,1024965,1010340022,Clinton
"Latin American Cultural Center of Queens, Inc.","120-55 Queens Boulevard, Room 333","120-55 Queens Boulevard, Room 333, Kew Gardens",40.7137004,-73.8281571,Kew Gardens,NY,11424,(718) 261-7664,"Multi-Discipline, Performing",Queens Council District #24,Queens Community Board #3,Queens,216,4052812,4022740002,Kew Gardens
Latin American Intercultural Alliance,86-28 110th Street,"86-28 110th Street, Richmond Hill",40.697571,-73.838813,Richmond Hill,NY,11418,(347) 995-2745,"Multi-Discipl, Perf & Non-Perf",Queens Council District #27,Queens Community Board #12,Queens,128,4192199,4092050019,Richmond Hill
Latin American Theater Experiment & Associates,P.O. Box 20673,"P.O. Box 20673, New York",40.7127753,-74.0059728,New York,NY,10701,(212) 529-1948,Theater,Manhattan Council District #1,Manhattan Community Board #3,Manhattan,,,,
Latin American Theatre Ensemble Inc.,"350 West 51st Street,  Apt. 13-D","350 West 51st Street,  Apt. 13-D, New York",40.7636078,-73.9877372,New York,NY,10019,(212) 397-3262,Theater,Manhattan Council District #8,Manhattan Community Board #11,Manhattan,133,1025183,1010410050,Clinton
"Latino International Theater Festival of New York, Inc.","142 East 27th Street, Ste. 1A","142 East 27th Street, Ste. 1A, New York",40.741558,-73.9824019,New York,NY,10016,(212) 695-4010,Theater,Manhattan Council District #2,Manhattan Community Board #6,Manhattan,68,1018149,1008820056,Gramercy
"Latsky Dance, Inc.","400 West 43rd Street, #21S","400 West 43rd Street, #21S, New York",40.759033,-73.9930577,New York,NY,10036,(212) 679-7399,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,121,1083745,1010520001,Clinton
"Laundromat Project, Inc.","127 West 127th Street, #434","127 West 127th Street, #434, New York",40.809875,-73.9458556,New York,NY,10027,(718) 574-0798,Visual Arts,Brooklyn Council District #36,Brooklyn Community Board #3,Brooklyn,,,,
Red Light Contemporary Music,171 Clermont Ave,"171 Clermont Ave, Brooklyn",40.6925402,-73.9704261,Brooklyn,NY,11205,(718) 968-5317,Music,Brooklyn Council District #35,Brooklyn Community Board #2,Manhattan,,,,
"Laurie Foundation for the Performing Arts, Inc.",547 West 26th Street,"547 West 26th Street, New York",40.7504503,-74.0043597,New York,NY,10001,(212) 244-0015,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,99,1012390,1006980010,Hudson Yards-Chelsea-Flatiron-Union Square
"League of American Theatres and Producers, Inc.","226 West 47th Street, 6th floor","226 West 47th Street, 6th floor, New York",40.7596176,-73.9858274,New York,NY,10036,(212) 703-0222,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,125,1024743,1010180044,Midtown-Midtown South
League of Composers,34-29 80th Street,"34-29 80th Street, Jackson Heights",40.752628,-73.8864229,Jackson Heights,NY,11372,(718) 622-3005,Music,Brooklyn Council District #33,Brooklyn Community Board #6,Brooklyn,44,,,Bay Ridge
League of Professional Theatre Women,520 8th Avenue,"520 8th Avenue, New York",40.753615,-73.9920415,New York,NY,10018,(888) 297-3117,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,109,1083624,1007860001,Midtown-Midtown South
League of Professional Theatre Women,P.O. Box 2292,"P.O. Box 2292, New York",40.7127753,-74.0059728,New York,NY,10108,(212) 362-3204,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,,,,
